uri,author,author_name,text,created_at,indexed_at,likes,reposts,replies,has_media,keyword
at://did:plc:bijy477nukqrl5fh2bhot76k/app.bsky.feed.post/3lqime4uyzs2r,petermiles.bsky.social,Pete Miles,Understood. I think polling has its place but needs to be used carefully. HS2 yes/no would be an odd question to ask.,2025-05-31T20:43:10.379Z,2025-05-31T20:43:08.948Z,0,0,0,False,HS2
at://did:plc:bijy477nukqrl5fh2bhot76k/app.bsky.feed.post/3lqily4i63c2r,petermiles.bsky.social,Pete Miles,"One of those questions is not like the others. 

(HS2 has been tainted by incredibly poor communications, by promoting it as saving 20 minutes to get to Birmingham, and by building the business case on productivity savings which was always nonsense)",2025-05-31T20:36:27.305Z,2025-05-31T20:36:26.147Z,1,0,1,False,HS2
at://did:plc:bccvjoxtno3bwi6dfghducvc/app.bsky.feed.post/3lqijzcoyls2e,johnyfg.bsky.social,,"For future generations, I want a train service, that i embark in Manchester/Birmingham and have the option of travelling direct to Paris/Brussels. HS2 was dead in the water as soon as this was never to happen. White Elephant...",2025-05-31T20:01:19.891Z,2025-05-31T20:01:20.452Z,0,0,1,False,HS2
at://did:plc:ymnoz27d3en3e2gau5l5lum5/app.bsky.feed.post/3lqijrrr4rk2u,richardbaker.bsky.social,,"Well…here’s three versions of the same question:
Do you think we should reduce regional inequality?
Do you think we should make it easier for people to access opportunity?
Do you think we should build HS2?
We know which one would poll badly.",2025-05-31T19:57:07.255Z,2025-05-31T19:57:07.850Z,3,0,2,False,HS2
at://did:plc:y2ur5uc55itgipwkaldudmiv/app.bsky.feed.post/3lqicvw4qlk2r,theblackstray.bsky.social,🔞The Black Stray🔞,"A HS2 com for @\Olympe_ngs18 on twitter,
Shira makes fun of Stray's height, and Stray shows her where the extra inches went.😈

#honeyselect #honeyselect2 #R18 #3dart #nsfw #3dcg",2025-05-31T17:54:09.567Z,2025-05-31T17:57:40.952Z,4,1,0,True,HS2
at://did:plc:igd63hvejeojdqne43adwebg/app.bsky.feed.post/3lqi6e4dlws2z,roxyroxy.bsky.social,Roxy,"Oh dear oh dear…. Bozo trying to stay relevant drinking his glass of sour grapes (and in competition with Elon for impregnating as many women as possible).  You had your shot Bozo, you pissed Britain up the wall.  Parties, Wifes Wallpaper, PPE, royal yatch, HS2…need I go on?",2025-05-31T16:32:37.423Z,2025-05-31T16:32:37.945Z,1,0,1,False,HS2
at://did:plc:5rsybfgedqs6e2n2njngvn3t/app.bsky.feed.post/3lqi4xy6o2222,supergm.bsky.social,Phil Burrows ,"""Is there a point where I’d say the costs have got too damn high? I guess… maybe? ""

Why can't any HS2 enthusiasts answer this though?",2025-05-31T16:07:56.671Z,2025-05-31T16:07:54.747Z,0,0,1,False,HS2
at://did:plc:x3d5dynrj5rzum5ao34xatr4/app.bsky.feed.post/3lqhykv3nyc23,sharl.bsky.social,Robert Sharl,If you think this is ridiculous then I’d like to talk to you about #HS2,2025-05-31T14:49:02.246Z,2025-05-31T14:49:05.649Z,1,0,0,True,HS2
at://did:plc:x3d5dynrj5rzum5ao34xatr4/app.bsky.feed.post/3lqhygwrzxc23,sharl.bsky.social,Robert Sharl,If you think this is ridiculous then I’d like to talk to you about #HS2,2025-05-31T14:46:49.813Z,2025-05-31T14:46:53.549Z,1,0,0,True,HS2
at://did:plc:7eufuycajywsiu5dsv2eftdk/app.bsky.feed.post/3lqhl2ipiuc2c,mickrab.bsky.social,,"Even if HS2 gets the go-ahead it won't reach Leeds for 20 years.
Trams have transformed getting around Manchester, Sheffield and Nottingham. Leeds could have one in 5 years, and might even get to that poxy airport.",2025-05-31T10:47:13.758Z,2025-05-31T10:47:14.849Z,0,0,1,False,HS2
