date,HS2,New Hospital Programme,Sizewell C
2025-06-17,56.0,1.0,6.0
2025-06-18,538.0,1.0,6.0
2025-06-19,186.0,1.0,11.0
2025-06-20,65.0,1.0,11.0
2025-06-21,48.0,0.0,0.0
2025-06-22,40.0,0.0,2.0
2025-06-23,98.0,0.0,4.0
2025-06-24,90.0,0.0,6.0
2025-06-25,37.0,0.0,2.0
2025-06-26,45.0,0.0,9.0
2025-06-27,56.0,0.0,15.0
2025-06-28,27.0,0.0,4.0
2025-06-29,16.0,0.0,2.0
2025-06-30,17.0,1.0,6.0
2025-07-01,29.0,0.0,5.0
2025-07-02,27.0,0.0,7.0
2025-07-03,28.0,0.0,4.0
2025-07-04,23.0,0.0,4.0
2025-07-05,24.0,0.0,3.0
2025-07-06,35.0,0.0,4.0
2025-07-07,20.0,0.0,5.0
2025-07-08,34.0,0.0,41.0
2025-07-09,37.0,0.0,20.0
2025-07-10,30.0,1.0,7.0
2025-07-11,18.0,0.0,5.0
2025-07-12,6.0,0.0,0.0
2025-07-13,24.0,0.0,0.0
2025-07-14,69.0,1.0,5.0
2025-07-15,56.0,0.0,2.0
2025-07-16,34.0,2.0,3.0
2025-07-17,43.0,1.0,2.0
2025-07-18,37.0,0.0,18.0
2025-07-19,32.0,0.0,18.0
2025-07-20,24.0,0.0,9.0
2025-07-21,129.0,1.0,6.0
2025-07-22,64.0,1.0,183.0
2025-07-23,44.0,1.0,45.0
2025-07-24,26.0,0.0,20.0
2025-07-25,20.0,1.0,12.0
2025-07-26,19.0,0.0,8.0
2025-07-27,22.0,0.0,14.0
2025-07-28,90.0,0.0,11.0
2025-07-29,29.0,1.0,6.0
2025-07-30,32.0,0.0,8.0
2025-07-31,29.0,1.0,3.0
2025-08-01,56.0,1.0,9.0
2025-08-02,20.0,0.0,19.0
2025-08-03,16.0,0.0,15.0
2025-08-04,19.0,0.0,12.0
2025-08-05,32.0,0.0,9.0
2025-08-06,18.0,2.0,2.0
2025-08-07,28.0,0.0,3.0
2025-08-08,33.0,1.0,5.0
2025-08-09,31.0,0.0,6.0
2025-08-10,24.0,0.0,4.0
2025-08-11,38.0,0.0,4.0
2025-08-12,20.0,0.0,3.0
2025-08-13,37.0,0.0,4.0
2025-08-14,30.0,1.0,2.0
2025-08-15,32.0,0.0,1.0
2025-08-16,27.0,0.0,2.0
2025-08-17,13.0,0.0,1.0
2025-08-18,21.0,0.0,3.0
2025-08-19,18.0,0.0,7.0
2025-08-20,24.0,0.0,6.0
2025-08-21,13.0,0.0,3.0
